None,None,None,None,red,forward,-1.0,39
None,None,None,right,red,None,0.0,40
None,None,None,left,green,forward,-0.5,0
None,None,None,forward,green,forward,2.0,1
None,None,None,right,red,None,0.0,2
None,None,None,left,red,right,-0.5,3
None,None,None,None,green,right,9.5,4
None,None,None,forward,green,None,0.0,0
None,None,None,None,green,forward,-0.5,1
None,None,forward,None,green,forward,-0.5,2
None,None,None,forward,red,None,0.0,3
None,None,None,forward,red,forward,-1.0,4
None,None,None,forward,red,right,-0.5,5
None,None,None,None,green,forward,-0.5,6
None,None,None,right,green,forward,-0.5,7
None,None,None,None,red,left,-1.0,8
None,None,None,left,red,forward,-1.0,9
None,None,None,None,green,forward,-0.5,10
None,None,None,right,green,forward,-0.5,11
None,None,None,None,red,forward,-1.0,12
None,None,None,None,red,None,0.0,13
None,None,None,forward,red,forward,-1.0,14
None,None,None,None,green,forward,-0.5,15
None,None,None,left,green,forward,-0.5,16
None,None,None,right,red,right,2.0,17
None,None,None,None,red,right,-0.5,18
None,None,None,None,red,right,-0.5,19
None,None,None,None,green,left,-0.5,20
None,None,None,forward,red,forward,-1.0,21
None,None,None,None,red,None,0.0,22
None,None,None,right,red,right,2.0,23
None,None,None,None,green,forward,-0.5,24
None,None,None,forward,red,forward,-1.0,25
