{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-11,31,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-12,32,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-13,33,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-14,34,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-15,35,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-16,36,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-17,37,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-18,38,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-19,39,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-20,40,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-21,41,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-22,42,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-23,43,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-24,44,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-25,45,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-26,46,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-27,47,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-28,48,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-29,49,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-30,50,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None},-31,51,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-32,52,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-33,53,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-34,54,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-35,55,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-36,56,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-37,57,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-38,58,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-39,59,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-40,60,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-41,61,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-42,62,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-43,63,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-44,64,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-45,65,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-46,66,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-47,67,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-48,68,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-49,69,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-50,70,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-51,71,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-52,72,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-53,73,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-54,74,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-55,75,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-56,76,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-57,77,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-58,78,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-59,79,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-60,80,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-61,81,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-62,82,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-63,83,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-64,84,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-65,85,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-66,86,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-67,87,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-68,88,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-69,89,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-70,90,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-71,91,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-72,92,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-73,93,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-74,94,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-75,95,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-76,96,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-77,97,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-78,98,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-79,99,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-80,100,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None},-81,101,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-82,102,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-83,103,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-84,104,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-85,105,set(['green', 'left']),False
